Overall Qual,Gr Liv Area,Garage Cars,Garage Area,1st Flr SF,Total Bsmt SF,Lot Area,BsmtFin SF 1,Full Bath,year_since_remod,SalePrice,Log_SalePrice
9,7.754481547470383,3.0,1003.0,7.254884810077338,1414.0,12151,7.1308988302963465,2,3,379000,12.84529412258351
6,7.510977752014095,1.0,240.0,6.925595197110468,848.0,11737,0.0,1,10,202500,12.218500103788143
7,7.2813856635702825,2.0,506.0,6.570882962339584,691.0,3735,6.111467339502679,2,7,183900,12.12215284831553
4,6.447305862541213,0.0,0.0,6.447305862541213,630.0,1470,6.259581464064923,1,36,73000,11.19822841866684
5,7.275864600546533,2.0,400.0,6.61338421837956,384.0,9802,0.0,2,3,174000,12.066816325306588
6,7.427144133408616,2.0,474.0,6.787844982309579,886.0,8480,6.401917196727186,2,14,163000,12.001511614739405
6,7.217443431696533,2.0,502.0,6.62273632394984,611.0,6155,0.0,2,9,128000,11.759793355371237
7,7.473069088032197,2.0,525.0,6.851184927493743,1449.0,16698,6.68586094706836,2,16,233500,12.360941638737165
5,7.462214939768189,1.0,225.0,6.8679744089702925,936.0,7308,5.8888779583328805,1,58,122250,11.713831587262764
5,6.705639094860003,1.0,264.0,6.705639094860003,816.0,8314,6.304448802421981,1,25,124500,11.732069026983156
7,7.400620577371135,1.0,288.0,6.70808408385307,818.0,9399,0.0,1,56,167000,12.025755079404917
6,7.43307534889858,2.0,442.0,6.846943139585379,915.0,9487,6.255750041753367,2,7,187000,12.138869243416009
3,7.076653815443951,1.0,308.0,6.522092798170152,649.0,6000,5.805134968916488,1,5,120000,11.695255355062795
5,7.5352967024440884,2.0,484.0,6.842683282238422,0.0,10260,0.0,2,32,100000,11.51293546492023
5,7.396335293800808,2.0,482.0,6.834108738813838,928.0,13830,6.674561391814426,2,12,189900,12.15425816271595
8,7.368339686311381,2.0,594.0,7.368339686311381,1574.0,10440,0.0,2,0,261329,12.473539255481047
7,6.729824070489475,1.0,308.0,6.729824070489475,836.0,2280,0.0,1,35,120000,11.695255355062795
5,7.133295954896068,2.0,576.0,6.842683282238422,504.0,7438,0.0,1,15,127000,11.751950239425476
9,7.813591552952433,3.0,675.0,7.005789019253503,1094.0,12292,5.327876168789581,2,0,356383,12.783764080192826
6,7.869019376499023,2.0,624.0,7.3453648404168685,1522.0,10800,6.863803391452954,2,11,240000,12.388398368982115
5,7.560601162768557,2.0,451.0,7.133295954896068,1052.0,13650,4.060443010546419,2,48,172500,12.058158312538197
6,7.637234388789473,2.0,500.0,7.637234388789473,1542.0,13175,6.673297967767654,2,22,210000,12.25486757159303
5,7.3752557780097545,2.0,672.0,7.3752557780097545,1582.0,11070,4.02535169073515,2,18,152000,11.931642378754141
8,7.421177528595393,3.0,928.0,7.421177528595393,1670.0,15218,7.354362330421477,2,0,336820,12.727306910950475
7,7.586803535162581,2.0,689.0,7.01571242048723,1113.0,9675,5.834810737062605,2,4,253000,12.441148720271016
6,7.085901464365611,2.0,539.0,7.085901464365611,655.0,8910,6.486160788944089,1,47,159500,11.979805470779858
8,7.583247524303362,2.0,760.0,7.018401799069201,1100.0,12447,0.0,2,0,252000,12.437188334739655
5,7.113956109566034,1.0,271.0,7.113956109566034,1228.0,8544,0.0,1,2,149350,11.914054519303125
6,6.947937068614969,2.0,320.0,6.947937068614969,1040.0,7200,0.0,1,16,127500,11.755879486687116
8,7.372118028337787,2.0,676.0,6.668228248417403,768.0,9000,0.0,2,1,210000,12.25486757159303
6,7.60489448081162,1.0,357.0,6.994849985833071,917.0,8400,0.0,2,59,160000,11.982935344196433
8,7.910957382845589,3.0,725.0,7.214504414151143,1342.0,10019,6.269096283706261,2,11,350000,12.765691290604371
6,8.208764045819667,2.0,836.0,7.515889085215125,1836.0,19800,6.054439346269371,3,16,415000,12.936036208848487
4,6.755768921984255,0.0,0.0,6.755768921984255,858.0,8125,6.421622267806518,1,35,88000,11.385103457032141
7,7.186144304522325,2.0,400.0,6.493753839851686,660.0,7750,0.0,2,4,162000,11.995357787034976
6,7.400620577371135,2.0,386.0,6.821107472256465,916.0,15038,4.9344739331306915,2,12,173000,12.06105265381003
5,6.907755278982137,1.0,264.0,6.907755278982137,999.0,7758,6.3784261836515865,1,6,132500,11.794345471549745
7,7.631431664576906,2.0,647.0,6.9985096422506015,1070.0,9085,6.705639094860003,2,13,260000,12.468440756144114
8,7.803435056952168,3.0,711.0,7.430707082545968,1629.0,46589,7.216709486709457,2,4,402000,12.904209855160254
4,6.759255270663693,2.0,539.0,6.759255270663693,861.0,12342,5.572154032177765,1,59,82500,11.320565693461432
4,7.374629015218945,0.0,0.0,6.720220155135295,828.0,11426,0.0,2,12,118000,11.678448377988165
8,7.321849713788356,1.0,180.0,6.683360945766275,798.0,7609,6.008813185442595,2,11,231000,12.35017731849889
6,7.323170717943469,2.0,394.0,6.709304340258298,794.0,8433,6.52795791762255,2,9,190000,12.154784614286667
8,7.75491027202143,3.0,756.0,7.065613363597717,1148.0,10574,6.75343791859778,2,4,316000,12.663500657121004
4,6.762729506931879,2.0,463.0,6.762729506931879,864.0,8120,5.2574953720277815,1,39,124500,11.732069026983156
4,7.1252830915107115,1.0,336.0,7.1252830915107115,484.0,17808,0.0,1,57,109900,11.60733523953139
5,7.0431599159883405,1.0,336.0,7.0431599159883405,1144.0,9100,0.0,1,47,120000,11.695255355062795
6,7.236339342754344,2.0,522.0,7.236339342754344,1388.0,12000,6.74993119378857,2,38,158900,11.97603664577121
9,7.699389406256737,3.0,670.0,7.0192966537150445,1090.0,13975,0.0,2,0,300000,12.611541086966115
6,7.258412150595307,2.0,543.0,7.258412150595307,1487.0,8773,6.858565034791365,2,4,190000,12.154784614286667
7,7.933079771880415,4.0,820.0,7.063903961472068,1168.0,11855,6.710523109452428,4,9,269500,12.504327379899443
7,7.197435354096591,2.0,575.0,7.197435354096591,1335.0,9000,0.0,2,0,210400,12.256770512686108
6,7.274479558773871,2.0,615.0,7.274479558773871,1442.0,11717,0.0,2,39,185000,12.128116509451258
5,6.7580945044277305,2.0,528.0,6.7580945044277305,840.0,8740,6.511745329644728,1,27,137000,11.827743504053695
5,6.762729506931879,1.0,308.0,6.762729506931879,864.0,8125,6.0014148779611505,1,50,118000,11.678448377988165
5,7.403061091090091,2.0,394.0,7.403061091090091,0.0,21370,0.0,1,56,131000,11.782960235741939
7,7.299797366758161,2.0,484.0,6.587550014824796,725.0,7472,6.440946540632921,1,3,184000,12.122696471358964
6,7.217443431696533,2.0,460.0,7.217443431696533,1362.0,7577,3.044522437723423,2,1,194700,12.179220327453931
6,7.190676034332207,2.0,388.0,7.190676034332207,1326.0,12216,6.823286122355687,2,2,203000,12.220966184120165
9,7.363913501405819,2.0,564.0,7.363913501405819,1577.0,7841,6.744059186311348,2,2,280000,12.54254845357358
4,7.232010331664759,2.0,459.0,7.232010331664759,1051.0,11235,6.306275286948016,1,27,148000,11.904974309480183
5,7.095893221097532,1.0,312.0,7.095893221097532,1206.0,10725,6.842683282238422,1,51,108538,11.594864834381662
8,7.6787889981991535,3.0,789.0,7.384610383176974,1582.0,10562,7.161622002939187,1,0,325624,12.693501691489768
5,7.051855622955894,2.0,480.0,7.051855622955894,1154.0,11000,6.608000625296087,1,43,154000,11.944714374881176
7,7.340835554123275,3.0,843.0,7.340835554123275,1541.0,13704,0.0,2,4,205000,12.230770136157428
6,7.061334366910438,2.0,490.0,7.061334366910438,1127.0,9020,5.746203190540153,1,42,174900,12.071975378543236
8,7.362645270417825,3.0,732.0,7.362645270417825,1603.0,10845,7.047517221357296,2,4,284000,12.556733038263905
6,7.40184157874383,1.0,384.0,6.875232087276577,967.0,9060,0.0,2,49,139000,11.842236406331555
7,7.825644732219989,2.0,564.0,7.148345743900068,1223.0,19522,6.590301048196686,2,17,300000,12.611541086966115
7,7.183111701743281,2.0,440.0,7.183111701743281,1316.0,11175,0.0,2,0,200141,12.206782393599413
7,7.383989457978509,3.0,579.0,6.866933284461882,637.0,12320,0.0,1,16,199500,12.20357452783082
4,7.32052696227274,2.0,720.0,6.726233402358747,677.0,9600,0.0,2,59,87500,11.37940550085183
6,7.455298485683291,2.0,673.0,6.762729506931879,864.0,8791,6.222576268071369,2,5,207500,12.242891437918386
4,7.266128779556451,2.0,370.0,6.727431724850855,596.0,10320,0.0,2,56,107000,11.580593459194764
5,6.794586580876499,1.0,288.0,6.794586580876499,892.0,7150,6.07073772800249,1,42,100000,11.51293546492023
5,7.273092595999522,1.0,480.0,7.273092595999522,1248.0,9840,6.960347729101308,2,10,185000,12.128116509451258
7,7.47477218239787,2.0,591.0,6.778784897685177,826.0,9930,6.124683390894205,2,4,222000,12.310437165348775
5,6.71901315438526,1.0,392.0,6.71901315438526,0.0,7200,0.0,1,3,107500,11.58525542883217
5,6.816735880594968,1.0,297.0,6.816735880594968,912.0,7535,4.718498871295094,1,22,120000,11.695255355062795
5,7.260522598089852,1.0,352.0,7.260522598089852,1290.0,7223,5.768320995793772,1,57,136500,11.824087219587643
5,7.455298485683291,2.0,560.0,7.455298485683291,1728.0,9297,7.382124365737512,2,30,188000,12.144202560946876
6,6.859614903654202,1.0,192.0,6.859614903654202,952.0,8854,0.0,1,59,121000,11.703554089007538
7,7.31455283232408,2.0,512.0,7.31455283232408,1277.0,4084,6.795705775173514,2,22,241500,12.394628892852941
5,6.658011045870748,1.0,924.0,6.658011045870748,740.0,6900,6.0014148779611505,1,53,120500,11.699413330633599
8,7.399398083331354,3.0,866.0,7.399398083331354,1626.0,11428,0.0,2,1,250000,12.429220196836383
9,7.284134806195205,2.0,539.0,7.284134806195205,1451.0,6472,0.0,2,1,248500,12.423202148655593
6,7.7406644019172415,2.0,482.0,6.86484777797086,938.0,7500,0.0,3,4,204000,12.225880174775122
5,7.022868086082641,2.0,480.0,7.022868086082641,1121.0,8816,6.480044561926653,1,46,139000,11.842236406331555
7,7.421177528595393,3.0,690.0,7.421177528595393,1670.0,14859,0.0,2,0,240000,12.388398368982115
9,7.523481312573497,3.0,772.0,7.523481312573497,1833.0,16033,7.140453043101158,2,1,326000,12.694655727828803
5,7.467942332285852,1.0,240.0,6.993932975223189,636.0,9000,0.0,1,15,124000,11.728044909070785
6,7.317212408359839,2.0,505.0,7.317212408359839,1505.0,12160,6.932447891572509,1,56,149500,11.915058360753719
7,7.646831391430482,2.0,542.0,7.1204443723924875,791.0,20544,0.0,2,17,215000,12.278397958261774
3,7.227662498728654,1.0,216.0,6.5722825426940075,738.0,7614,0.0,1,56,96900,11.481445117743048
5,6.960347729101308,1.0,312.0,6.960347729101308,1053.0,10007,6.693323668269949,1,2,145500,11.8879382384223
6,7.273092595999522,2.0,467.0,7.273092595999522,1440.0,12546,6.520621127558696,2,26,182900,12.116700301832573
7,7.284134806195205,2.0,400.0,6.591673732008658,728.0,9018,0.0,2,0,179540,12.09815887308463
6,7.73718007783463,2.0,506.0,7.13966033596492,1214.0,7200,6.953684210870537,2,9,133900,11.804855999911272
5,6.9584483932976555,2.0,504.0,6.9584483932976555,1051.0,9600,6.63200177739563,1,38,142000,11.863589378812122
5,6.796823718274855,2.0,440.0,6.796823718274855,864.0,13350,6.637258031284457,1,32,142500,11.86710429621008
3,7.20414929203594,0.0,0.0,6.695798917058491,536.0,10320,0.0,2,58,82375,11.319049411336588
4,6.447305862541213,1.0,286.0,6.447305862541213,630.0,1477,6.234410725718371,1,39,80000,11.289794413577894
7,6.988413181999592,2.0,596.0,6.988413181999592,1047.0,9927,6.913737350659685,1,30,172000,12.055255569732177
6,7.357556200910353,2.0,542.0,7.357556200910353,1562.0,14695,7.23561914106675,2,1,256000,12.45293662970407
6,7.659171367666058,2.0,583.0,7.229113877793302,689.0,10448,0.0,2,37,158000,11.970356641102999
6,7.443078374348516,2.0,479.0,7.443078374348516,1140.0,11088,6.725033642166843,2,11,184000,12.122696471358964
6,6.8658910748834385,2.0,440.0,6.8658910748834385,1078.0,4928,4.795790545596741,2,31,128000,11.759793355371237
3,7.384610383176974,1.0,480.0,6.959398512133975,972.0,18600,5.666426688112432,2,20,124000,11.728044909070785
7,7.181591944611865,2.0,626.0,7.181591944611865,1314.0,5001,6.807934943699926,2,1,230000,12.345838935721968
5,6.816735880594968,1.0,288.0,6.816735880594968,912.0,7800,5.746203190540153,1,42,115000,11.652696102959753
9,7.751475318021456,3.0,736.0,7.075808863978387,1175.0,11924,6.906754778648554,3,0,345000,12.75130259456002
4,7.0326242610280065,2.0,451.0,7.0326242610280065,1132.0,7024,6.932447891572509,1,3,176000,12.07824495582233
7,7.1316985104669115,2.0,528.0,6.439350371100098,625.0,4251,0.0,2,0,164700,12.011886987792716
9,7.532088143541722,3.0,870.0,7.532088143541722,1858.0,10110,5.921578419643816,2,0,336860,12.727425661340265
5,7.393263094763838,1.0,240.0,7.393263094763838,1444.0,10858,3.713572066704308,1,54,146500,11.89478753335453
6,7.080026499922591,2.0,420.0,7.080026499922591,1168.0,7980,6.841615476477592,2,3,185000,12.128116509451258
6,7.329093736246592,2.0,478.0,7.329093736246592,1193.0,11361,6.4692503167957724,2,32,180000,12.100717685412471
6,7.090076835776092,2.0,530.0,7.090076835776092,1199.0,7892,5.707110264748875,2,15,153900,11.944064817531656
6,7.834788107388194,1.0,216.0,7.417580402414544,714.0,8520,5.1298987149230735,2,57,136000,11.820417517632333
6,7.293697720601438,2.0,624.0,6.767343125265392,738.0,10560,5.648974238161206,1,16,140750,11.854747650772435
7,7.394493107219038,2.0,474.0,6.639875833826536,764.0,2448,0.0,2,4,155000,11.951186847493476
5,6.828712071641684,1.0,264.0,6.828712071641684,876.0,6951,6.490723534502507,1,23,119500,11.691080018519527
5,7.210079628170788,2.0,720.0,6.517671272912275,676.0,10800,0.0,2,3,149000,11.91170829631447
8,7.587817219993427,3.0,895.0,7.587817219993427,1935.0,14226,0.0,2,1,395000,12.886643575525625
5,6.818924065275521,2.0,444.0,6.818924065275521,914.0,6950,6.566672429803241,1,30,134900,11.812296455066814
5,7.2682230211595655,2.0,441.0,7.2682230211595655,1251.0,9600,6.82001636467413,1,16,161000,11.989165855127435
5,7.771910256435763,1.0,432.0,7.229113877793302,994.0,6600,0.0,2,44,107500,11.58525542883217
6,6.8966943316227125,1.0,297.0,6.8966943316227125,988.0,9240,6.5638555265321274,2,11,149500,11.915058360753719
8,7.450079569807499,2.0,473.0,7.450079569807499,1719.0,10846,7.3901814282264295,1,15,324000,12.688501881189456
7,7.444248649496705,2.0,380.0,6.878326468291325,970.0,2522,0.0,2,2,137500,11.83138646878959
10,7.624130585661289,3.0,878.0,7.624130585661289,1994.0,15431,7.266128779556451,2,1,450000,13.017005083966255
5,6.776506992372183,2.0,576.0,6.776506992372183,876.0,7200,6.07073772800249,1,57,94000,11.451060699493427
6,6.985641817639208,1.0,288.0,6.985641817639208,1080.0,9464,6.3473892096560105,1,50,136000,11.820417517632333
5,7.060476365999801,1.0,240.0,7.060476365999801,1164.0,10880,6.947937068614969,1,58,125000,11.736077016252437
8,7.779048644925556,3.0,672.0,6.961296045910167,1054.0,10672,0.0,2,0,298236,12.605643751415895
7,7.2682230211595655,2.0,528.0,7.2682230211595655,1433.0,11980,7.2682230211595655,1,23,270000,12.506180941677357
6,7.305860032684009,2.0,738.0,7.305860032684009,1488.0,47280,0.0,2,58,133000,11.798111925972618
7,7.21890970761906,2.0,437.0,7.21890970761906,1220.0,3087,6.118097198041348,2,0,210250,12.256057334066451
8,7.112327444710911,2.0,484.0,7.112327444710911,1226.0,3874,6.694562058521095,1,26,190000,12.154784614286667
8,7.186901020411631,2.0,484.0,7.186901020411631,1312.0,5118,6.831953565565855,1,17,212000,12.264346270624157
5,7.046647277848756,1.0,672.0,7.046647277848756,1148.0,7931,7.046647277848756,1,50,132500,11.794345471549745
6,7.410347097821024,2.0,510.0,7.410347097821024,1592.0,22002,7.234898420314831,1,16,200000,12.206077645517674
4,7.050122520269059,0.0,0.0,7.050122520269059,0.0,6040,0.0,2,53,82000,11.314486721293981
8,7.421775793644647,2.0,550.0,7.421775793644647,1426.0,16280,6.951772164398911,3,1,290000,12.577639650232573
4,7.513709247839705,0.0,0.0,7.513709247839705,1832.0,10773,6.558197802812269,2,43,136000,11.820417517632333
5,7.3632795869630385,2.0,528.0,6.9782137426306985,1324.0,21384,7.177782416195197,1,5,223500,12.317171167298682
4,6.9930151229329605,2.0,520.0,6.9930151229329605,1088.0,8308,4.890349128221754,1,44,110000,11.608244735642321
6,7.402451520818244,1.0,240.0,6.794586580876499,747.0,9350,5.8377304471659395,1,59,154400,11.947308393235778
7,7.396948602621014,2.0,451.0,7.396948602621014,1630.0,9750,0.0,2,8,213000,12.269052139516223
7,7.257707677160043,2.0,558.0,7.257707677160043,1418.0,8696,7.1770187659099,2,10,226001,12.328299127772787
6,7.1592919047975645,2.0,528.0,7.1592919047975645,660.0,8197,0.0,1,30,143500,11.874097282798648
6,7.282073658093465,2.0,530.0,7.282073658093465,1453.0,10573,7.180069874302796,2,48,187500,12.141539457711714
5,7.7475968386928855,1.0,342.0,7.153833801578843,1168.0,15600,6.634633357861686,2,43,257000,12.456835254920371
6,7.243512974665482,2.0,440.0,6.529418838262226,684.0,7200,5.666426688112432,1,7,160500,11.986055452062393
5,6.776506992372183,2.0,484.0,6.776506992372183,876.0,7480,6.175867270105761,1,38,127000,11.751950239425476
6,7.187657164114956,2.0,440.0,6.752270376141742,855.0,2308,5.552959584921617,2,35,147000,11.898194668458823
5,7.267525427828172,2.0,360.0,6.645090969505644,264.0,9600,0.0,2,5,132000,11.790564777297387
7,6.823286122355687,1.0,360.0,6.823286122355687,852.0,8750,5.41610040220442,1,32,148000,11.904974309480183
9,7.519149957669823,3.0,894.0,7.519149957669823,1842.0,50271,7.501634457883413,0,19,385000,12.861001210669146
7,7.316548177182976,2.0,437.0,7.316548177182976,1346.0,3182,2.833213344056216,2,2,191000,12.160033942617156
5,7.072421900537371,2.0,502.0,7.072421900537371,1090.0,11000,6.994849985833071,1,4,135000,11.813037464800539
7,7.240649694255466,2.0,400.0,6.626717749249025,384.0,11950,0.0,2,4,165500,12.016732516077072
8,7.440146680662688,3.0,844.0,7.440146680662688,1702.0,10130,7.166265974133638,2,2,275500,12.526346537332584
6,7.105786129481271,1.0,264.0,6.511745329644728,672.0,1890,5.877735781779639,1,34,113000,11.635151947212842
4,7.074963197966044,2.0,588.0,7.074963197966044,1138.0,10012,6.825460036255307,2,36,137500,11.83138646878959
6,7.094234845924755,2.0,412.0,7.094234845924755,1204.0,4500,6.7650389767805414,2,11,162000,11.995357787034976
6,6.9782137426306985,2.0,525.0,6.9782137426306985,547.0,3675,6.148468295917647,1,2,140000,11.849404844423074
6,7.270312886079025,2.0,828.0,6.785587645007929,884.0,10800,6.3818160174060985,2,58,155000,11.951186847493476
6,6.838405200847344,1.0,306.0,6.838405200847344,932.0,8280,0.0,1,57,124000,11.728044909070785
5,7.762596048540069,2.0,393.0,7.228388451573604,973.0,9600,5.459585514144159,2,48,130000,11.775297421715827
7,6.729824070489475,1.0,345.0,6.729824070489475,836.0,2104,6.285998094508865,1,33,128500,11.763691965388299
6,7.456454555176209,2.0,528.0,6.726233402358747,816.0,7703,3.970291913552122,2,17,171500,12.052344376474922
5,6.963189985870238,1.0,308.0,6.963189985870238,1056.0,8176,6.741700694652055,1,15,139000,11.842236406331555
6,7.537962659768208,2.0,488.0,6.98933526597456,1084.0,8000,6.837332814685591,2,33,178900,12.094587859196112
8,7.43543801981455,3.0,856.0,7.43543801981455,1694.0,11825,0.0,2,0,322400,12.683551391346773
5,7.663407664893479,0.0,0.0,6.9930151229329605,1040.0,3000,0.0,2,59,62500,11.042937835596494
6,7.4821189235521155,2.0,480.0,7.0317412587631285,533.0,10600,0.0,2,46,136300,11.822620954414864
7,7.630946580890459,2.0,390.0,6.930494765951626,992.0,8755,6.650279048587422,2,10,214000,12.273735966890268
6,7.423568444259167,2.0,396.0,7.059617628291383,1163.0,21780,0.0,2,58,185000,12.128116509451258
5,6.645090969505644,1.0,396.0,6.645090969505644,768.0,7200,6.493753839851686,1,6,133900,11.804855999911272
9,7.932721027481948,2.0,636.0,7.510977752014095,1848.0,11025,6.255750041753367,2,14,372500,12.827995001361906
5,6.811244378601294,1.0,343.0,6.811244378601294,907.0,16269,6.439350371100098,1,31,140000,11.849404844423074
5,7.143617602704121,2.0,502.0,7.143617602704121,1219.0,9350,6.452048954437226,2,9,179900,12.100161978566867
7,7.20414929203594,4.0,784.0,7.20414929203594,1344.0,7060,7.177782416195197,2,10,206300,12.237091546357338
3,6.928537818164665,0.0,0.0,6.928537818164665,1020.0,4761,0.0,1,56,64500,11.07443600653965
7,7.585788821732034,2.0,534.0,7.057897937411856,808.0,11952,0.0,2,30,190000,12.154784614286667
9,8.160803920954665,3.0,959.0,7.56734567601324,1733.0,17242,5.680172609017068,3,12,584500,13.278513770756783
8,7.313886831633462,2.0,674.0,7.313886831633462,1489.0,8760,3.6109179126442243,2,1,212999,12.269047444691562
7,7.0909098220799835,2.0,480.0,6.398594934535208,600.0,3215,5.638354669333745,2,6,155000,11.951186847493476
8,7.68937110752969,2.0,570.0,6.974478911025045,1068.0,12334,0.0,2,6,254750,12.448041876494342
7,7.105786129481271,2.0,462.0,7.105786129481271,1218.0,7500,6.805722553416985,2,0,230348,12.347350829134758
5,7.368339686311381,2.0,506.0,7.368339686311381,1584.0,8917,0.0,2,39,119000,11.686887175419702
7,7.068172000388042,2.0,528.0,7.068172000388042,1053.0,10625,6.786716950605081,2,36,170000,12.04355959836804
5,7.271008538280992,2.0,528.0,7.271008538280992,1437.0,10768,7.05444965813294,2,3,218000,12.292254928916668
7,7.71289096149013,2.0,642.0,6.901737206656574,964.0,13006,0.0,2,9,222000,12.310437165348775
6,7.560601162768557,2.0,480.0,6.8679744089702925,960.0,7804,5.641907070938114,2,58,161900,11.994740316298905
5,7.1276936993473985,1.0,315.0,6.966967138613983,1008.0,8239,5.176149732573829,1,48,100000,11.51293546492023
6,6.744059186311348,2.0,420.0,6.744059186311348,848.0,4435,6.492239835020471,1,4,131500,11.78676973513378
5,6.816735880594968,1.0,252.0,6.816735880594968,912.0,7150,4.948759890378168,1,47,123000,11.719947764402807
6,7.0707241072602764,2.0,528.0,6.705639094860003,816.0,6240,0.0,1,56,114500,11.648338835562747
6,7.244941546337007,2.0,465.0,6.54965074223381,676.0,10274,5.805134968916488,2,23,162000,11.995357787034976
8,7.119635638017636,2.0,484.0,7.119635638017636,1235.0,3760,6.917705609835305,1,26,214000,12.273735966890268
7,7.299797366758161,2.0,577.0,7.299797366758161,1468.0,9382,0.0,2,8,191000,12.160033942617156
8,7.338888133838879,2.0,484.0,7.338888133838879,1538.0,8847,6.646390514847729,2,2,260000,12.468440756144114
6,7.653969180478774,2.0,540.0,7.1204443723924875,1127.0,13728,6.440946540632921,2,22,235000,12.367345048436391
6,7.029087564149662,2.0,480.0,7.029087564149662,1302.0,18160,6.311734809152915,1,43,154204,11.946038165007204
6,6.744059186311348,2.0,420.0,6.744059186311348,848.0,4435,6.530877627725885,1,5,144000,11.87757552297847
8,7.697575346802343,2.0,517.0,7.00850518208228,1105.0,11762,5.817111159963204,2,14,263000,12.479913113434042
7,7.562161631225652,2.0,564.0,6.967909201801884,750.0,10186,6.51471269087253,2,18,190000,12.154784614286667
5,6.779921907472252,2.0,440.0,6.779921907472252,864.0,9675,5.802118375377063,1,32,120000,11.695255355062795
7,7.330405211844402,2.0,541.0,7.330405211844402,1525.0,9100,7.244941546337007,2,6,235000,12.367345048436391
7,7.67693714581808,2.0,487.0,7.104144092987527,924.0,14200,6.100318952020064,2,40,226000,12.328294703023394
4,6.893656354602635,2.0,676.0,6.893656354602635,576.0,7898,0.0,1,16,105000,11.561725152903833
4,7.5822291942764615,2.0,572.0,6.790097235513905,888.0,8094,0.0,1,60,149500,11.915058360753719
6,7.356279876550748,1.0,299.0,7.356279876550748,1187.0,8800,6.804614520062624,2,6,185900,12.132969552931216
5,6.8966943316227125,1.0,360.0,6.8966943316227125,988.0,7150,6.587550014824796,1,41,129250,11.769511529284653
6,7.266128779556451,2.0,484.0,7.266128779556451,1430.0,19508,6.68586094706836,2,34,192000,12.165255859329688
5,7.0192966537150445,1.0,264.0,7.0192966537150445,1117.0,7590,0.0,1,45,136870,11.826794155381588
3,6.508769136971682,0.0,0.0,6.093569770045136,370.0,3500,4.976733742420574,1,57,64000,11.06665398721974
7,7.624130585661289,3.0,871.0,6.914730892718563,998.0,10625,6.7650389767805414,2,4,284000,12.556733038263905
7,7.355641102974253,3.0,814.0,7.355641102974253,1564.0,11058,4.04305126783455,2,1,218836,12.296082439438212
6,7.201170883281678,1.0,440.0,6.705639094860003,780.0,6430,6.660575149839686,1,56,128000,11.759793355371237
5,7.2196420401307355,2.0,440.0,6.641182169740591,765.0,1920,6.156978985585555,1,36,122500,11.715874472198905
6,7.491645473605133,2.0,451.0,6.870053411798126,936.0,10261,0.0,2,8,186500,12.136191879981927
6,7.285506548522785,2.0,440.0,6.593044534142437,729.0,3230,6.040254711277414,2,8,176000,12.07824495582233
7,7.477604243197589,2.0,504.0,6.970730078143525,1064.0,5306,6.206575926724928,2,19,239000,12.384223015005313
7,7.3632795869630385,3.0,668.0,7.3632795869630385,1393.0,3940,6.992096427415888,2,4,219990,12.30134191540679
4,6.447305862541213,1.0,286.0,6.447305862541213,630.0,1526,6.246106765481563,1,7,86000,11.362114203075018
7,7.275864600546533,2.0,577.0,7.275864600546533,1431.0,10739,7.138866999945524,2,8,203000,12.220966184120165
9,7.40184157874383,2.0,495.0,7.40184157874383,1614.0,4765,6.93537044601511,2,8,300000,12.611541086966115
4,7.4815557019095165,3.0,779.0,6.999422467507961,1095.0,9600,0.0,2,56,87000,11.373674891823535
