Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Mo Sold,Yr Sold,Sale Type,Sale Condition,Age,year_since_remod
11,527163010,4.110873864173311,RL,4.330733340286331,10000,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,6.638567789166521,763.0,GasA,Gd,Y,SBrkr,6.638567789166521,6.794586580876499,0.0,7.412160334945205,0.0,0.0,2,1,3,0.6931471805599453,TA,7,Typ,1,TA,Attchd,1993.0,Fin,2.0,440.0,TA,TA,Y,5.062595033026967,4.442651256490317,4,2010,WD ,Normal,17,16
12,527165230,3.044522437723423,RL,,7980,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,6.841615476477592,Unf,0.0,5.455321115357702,1168.0,GasA,Ex,Y,SBrkr,7.080026499922591,0.0,0.0,7.080026499922591,1.0,0.0,2,0,3,0.6931471805599453,TA,6,Typ,0,,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,6.182084906716632,3.091042453358316,3,2010,WD ,Normal,18,3
13,527166040,4.110873864173311,RL,4.1588830833596715,8402,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,6.672032945461067,789.0,GasA,Gd,Y,SBrkr,6.672032945461067,6.517671272912275,0.0,7.290292882446597,0.0,0.0,2,1,3,0.6931471805599453,TA,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,393.0,TA,TA,Y,0.0,4.330733340286331,5,2010,WD ,Normal,12,12
14,527180040,3.044522437723423,RL,4.454347296253507,10176,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,6.45833828334479,Unf,0.0,6.498282149476434,1300.0,GasA,Gd,Y,SBrkr,7.201916317531627,0.0,0.0,7.201916317531627,1.0,0.0,1,1,2,0.6931471805599453,Gd,5,Typ,1,Po,Attchd,1990.0,Unf,2.0,506.0,TA,TA,Y,5.262690188904886,0.0,2,2010,WD ,Normal,20,20
15,527182190,4.795790545596741,RL,,6820,Pave,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,5.910796644040527,BLQ,7.02197642307216,0.0,1488.0,GasA,TA,Y,SBrkr,7.315218389752975,0.0,0.0,7.315218389752975,1.0,0.0,1,1,1,0.6931471805599453,Gd,4,Typ,0,,Attchd,1985.0,RFn,2.0,528.0,TA,TA,Y,0.0,4.007333185232471,6,2010,WD ,Normal,25,25
16,527216070,4.110873864173311,RL,3.871201010907891,53504,Pave,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,6.403574197934815,Ex,TA,PConc,Gd,TA,Gd,ALQ,7.256297239690681,Unf,0.0,5.459585514144159,1650.0,GasA,Ex,Y,SBrkr,7.43307534889858,7.371489295214277,0.0,8.09559870137819,1.0,0.0,3,1,4,0.6931471805599453,Ex,12,Mod,1,Gd,BuiltIn,2003.0,Fin,3.0,841.0,TA,TA,Y,6.222576268071369,3.6109179126442243,6,2010,WD ,Normal,7,7
17,527225035,3.9318256327243257,RL,5.030437921392435,12134,Pave,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,Wood,Gd,TA,Av,GLQ,6.059123195581797,Unf,0.0,4.890349128221754,559.0,GasA,Gd,Y,SBrkr,6.985641817639208,6.511745329644728,0.0,7.469083884921234,0.0,0.0,2,0,4,0.6931471805599453,TA,8,Typ,0,,Basment,1988.0,RFn,2.0,492.0,TA,TA,Y,5.786897381366708,2.5649493574615367,6,2010,WD ,Normal,22,5
18,527258010,3.044522437723423,RL,4.48863636973214,11394,Pave,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,5.860786223465865,Gd,TA,PConc,Ex,TA,Av,GLQ,7.27655640271871,Unf,0.0,6.021023349349527,1856.0,GasA,Ex,Y,SBrkr,7.526717561352706,0.0,0.0,7.526717561352706,1.0,0.0,1,1,1,0.6931471805599453,Ex,8,Typ,1,Ex,Attchd,2010.0,Fin,3.0,834.0,TA,TA,Y,4.736198448394496,0.0,6,2010,New,Partial,0,0
19,527276150,3.044522437723423,RL,4.948759890378168,19138,Pave,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,4.795790545596741,Unf,0.0,6.61338421837956,864.0,GasA,Ex,Y,SBrkr,6.762729506931879,0.0,0.0,6.762729506931879,0.0,0.0,1,0,2,0.6931471805599453,TA,4,Typ,0,,Detchd,1951.0,Unf,2.0,400.0,TA,TA,Y,0.0,0.0,6,2010,WD ,Normal,59,59
20,527302110,3.044522437723423,RL,4.454347296253507,13175,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,4.787491742782046,TA,TA,CBlock,Gd,TA,No,ALQ,6.673297967767654,Rec,5.099866427824199,6.380122536899765,1542.0,GasA,TA,Y,SBrkr,7.637234388789473,0.0,0.0,7.637234388789473,1.0,0.0,2,0,3,0.6931471805599453,TA,7,Min1,2,TA,Attchd,1978.0,Unf,2.0,500.0,TA,TA,Y,5.857933154483459,0.0,2,2010,WD ,Normal,32,22
21,527358140,3.044522437723423,RL,4.663439094112067,11751,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,6.175867270105761,TA,TA,CBlock,Gd,TA,No,BLQ,6.559615237493242,Unf,0.0,7.038783541388542,1844.0,GasA,Ex,Y,SBrkr,7.520234556474628,0.0,0.0,7.520234556474628,0.0,0.0,2,0,3,0.6931471805599453,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,0.0,4.812184355372417,1,2010,COD,Normal,33,33
22,527358200,4.454347296253507,RL,4.454347296253507,10625,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,4.406719247264253,TA,TA,CBlock,Gd,TA,Gd,GLQ,6.786716950605081,LwQ,5.1298987149230735,0.0,1053.0,GasA,TA,Y,SBrkr,7.068172000388042,0.0,0.0,7.068172000388042,1.0,0.0,2,0,3,0.6931471805599453,Gd,6,Typ,2,TA,Attchd,1974.0,RFn,2.0,528.0,TA,TA,Y,0.0,4.795790545596741,1,2010,WD ,Family,36,36
23,527368020,4.110873864173311,FV,,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,6.280395838960195,Unf,0.0,5.641907070938114,814.0,GasA,Ex,Y,SBrkr,6.703188113240863,6.7580945044277305,0.0,7.423568444259167,1.0,0.0,2,1,3,0.6931471805599453,Gd,7,Typ,0,,Attchd,2000.0,RFn,2.0,663.0,TA,TA,Y,0.0,4.574710978503383,1,2010,WD ,Normal,10,10
24,527402200,3.044522437723423,RL,,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,5.198497031265826,TA,TA,CBlock,TA,TA,No,ALQ,6.361302477572996,Unf,0.0,6.056784013228625,1004.0,GasA,Ex,Y,SBrkr,6.912742820493176,0.0,0.0,6.912742820493176,1.0,0.0,1,0,2,0.6931471805599453,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,0.0,0.0,3,2010,WD ,Normal,40,40
25,527402250,3.044522437723423,RL,,12537,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,GLQ,6.5998704992128365,Unf,0.0,5.84354441703136,1078.0,GasA,Ex,Y,SBrkr,6.983789965258135,0.0,0.0,6.983789965258135,1.0,0.0,1,1,3,0.6931471805599453,TA,6,Typ,1,Fa,Attchd,1971.0,Fin,2.0,500.0,TA,TA,Y,0.0,0.0,4,2010,WD ,Normal,39,2
26,527403020,3.044522437723423,RL,4.189654742026425,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,6.654152520183219,Unf,0.0,5.641907070938114,1056.0,GasA,Ex,Y,SBrkr,6.963189985870238,0.0,0.0,6.963189985870238,1.0,0.0,1,0,3,0.6931471805599453,TA,6,Typ,1,Fa,Attchd,1968.0,Unf,1.0,304.0,TA,TA,Y,0.0,4.454347296253507,7,2010,WD ,Normal,42,42
27,527404120,3.044522437723423,RL,4.2626798770413155,8400,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,6.690842277418564,Rec,4.3694478524670215,0.0,882.0,GasA,TA,Y,SBrkr,6.78332520060396,0.0,0.0,6.78332520060396,1.0,0.0,1,0,2,0.6931471805599453,TA,4,Typ,0,,Attchd,1970.0,Fin,2.0,525.0,TA,TA,Y,5.484796933490655,0.0,4,2010,WD ,Normal,40,40
28,527425090,3.044522437723423,RL,4.2626798770413155,10500,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,6.07073772800249,Unf,0.0,6.07073772800249,864.0,GasA,TA,Y,SBrkr,6.762729506931879,0.0,0.0,6.762729506931879,0.0,0.0,1,0,3,0.6931471805599453,TA,5,Typ,1,Po,,,,0.0,0.0,,,Y,0.0,0.0,4,2010,ConLI,Normal,39,39
29,527427230,4.795790545596741,RH,3.295836866004329,5858,Pave,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,6.9584483932976555,BLQ,0.0,5.872117789475416,1405.0,GasA,Ex,Y,SBrkr,7.198931240688173,0.0,0.0,7.198931240688173,1.0,0.0,2,0,2,0.6931471805599453,Gd,5,Typ,1,Fa,Attchd,1999.0,Fin,2.0,511.0,TA,TA,Y,5.318119993844216,4.23410650459726,6,2010,WD ,Normal,11,11
30,527451180,5.081404364984463,RM,3.091042453358316,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,6.22455842927536,TA,TA,CBlock,TA,TA,No,Rec,5.056245805348308,Unf,0.0,5.793013608384144,483.0,GasA,TA,Y,SBrkr,6.182084906716632,6.22455842927536,0.0,6.895682697747868,0.0,0.0,1,1,2,0.6931471805599453,TA,5,Typ,0,,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,5.62040086571715,0.0,2,2010,COD,Normal,39,39
31,527451330,5.081404364984463,RM,3.091042453358316,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,6.20050917404269,TA,TA,CBlock,TA,TA,No,Rec,5.707110264748875,Unf,0.0,5.420534999272286,525.0,GasA,TA,Y,SBrkr,6.26530121273771,6.342121418721152,0.0,6.996681488176539,0.0,0.0,1,1,3,0.6931471805599453,TA,6,Typ,0,,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0.0,0.0,3,2010,WD ,Normal,39,39
32,527451410,5.081404364984463,RM,3.091042453358316,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,5.945420608606575,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,6.26530121273771,525.0,GasA,TA,Y,SBrkr,6.26530121273771,6.342121418721152,0.0,6.996681488176539,0.0,0.0,1,1,3,0.6931471805599453,TA,6,Typ,0,,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,0.0,0.0,3,2010,WD ,Family,39,39
33,527452190,4.795790545596741,RL,3.9889840465642745,4043,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,5.8888779583328805,Unf,0.0,6.565264970035361,1069.0,GasA,TA,Y,SBrkr,6.975413927455952,0.0,0.0,6.975413927455952,0.0,0.0,2,0,2,0.6931471805599453,TA,4,Typ,1,Fa,Attchd,1977.0,RFn,2.0,440.0,TA,TA,Y,0.0,4.02535169073515,7,2010,WD ,Normal,33,33
34,527453130,5.081404364984463,RL,3.2188758248682006,2280,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,6.244166900663736,Unf,0.0,5.834810737062605,855.0,GasA,TA,Y,SBrkr,6.752270376141742,6.400257445308821,0.0,7.284134806195205,0.0,0.0,2,1,3,0.6931471805599453,Gd,6,Typ,1,TA,Attchd,1975.0,Unf,2.0,440.0,TA,TA,Y,5.159055299214529,0.0,6,2010,WD ,Normal,35,35
35,527453150,4.795790545596741,RL,3.2188758248682006,2280,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,6.729824070489475,836.0,GasA,Ex,Y,SBrkr,6.729824070489475,0.0,0.0,6.729824070489475,0.0,0.0,1,0,2,0.6931471805599453,TA,4,Typ,0,,Attchd,1975.0,Unf,1.0,308.0,TA,TA,Y,0.0,3.4339872044851463,6,2010,WD ,Normal,35,35
36,527454200,5.081404364984463,RL,3.2188758248682006,2280,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,5.7430031878094825,Unf,0.0,6.300785794663244,855.0,GasA,Fa,Y,SBrkr,6.752270376141742,6.400257445308821,0.0,7.284134806195205,0.0,0.0,2,1,3,0.6931471805599453,TA,7,Typ,1,TA,Attchd,1978.0,Unf,2.0,440.0,TA,TA,Y,3.295836866004329,0.0,7,2010,WD ,Normal,32,32
37,528108120,4.110873864173311,RL,4.634728988229636,12858,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,5.093750200806762,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,7.372118028337787,1590.0,GasA,Ex,Y,SBrkr,7.395107546562485,6.56244409369372,0.0,7.755767170102998,0.0,0.0,2,1,3,0.6931471805599453,Ex,10,Typ,1,Gd,Attchd,2009.0,Fin,3.0,751.0,TA,TA,Y,4.976733742420574,4.897839799950911,1,2010,New,Partial,1,0
38,528112020,3.044522437723423,RL,4.59511985013459,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,5.303304908059076,Gd,TA,PConc,Ex,TA,No,GLQ,7.105786129481271,Unf,0.0,6.18826412308259,1704.0,GasA,Ex,Y,SBrkr,7.4413203897176174,0.0,0.0,7.4413203897176174,1.0,0.0,2,0,3,0.6931471805599453,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3.0,772.0,TA,TA,Y,0.0,3.9318256327243257,5,2010,WD ,Normal,3,2
39,528120060,3.044522437723423,RL,4.430816798843313,10159,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,6.111467339502679,Ex,TA,PConc,Ex,TA,Av,GLQ,7.4067107301776405,Unf,0.0,5.652489180268651,1930.0,GasA,Ex,Y,SBrkr,7.57095858316901,0.0,0.0,7.57095858316901,1.0,0.0,2,1,3,0.6931471805599453,Ex,8,Typ,1,Gd,Attchd,2010.0,Fin,3.0,606.0,TA,TA,Y,5.1298987149230735,4.564348191467836,4,2010,New,Partial,1,0
40,528120090,3.044522437723423,RL,4.553876891600541,12883,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,5.54907608489522,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,7.3427791893318455,1544.0,GasA,Ex,Y,SBrkr,7.3427791893318455,0.0,0.0,7.3427791893318455,0.0,0.0,2,0,3,0.6931471805599453,Gd,7,Typ,0,,Attchd,2009.0,RFn,3.0,868.0,TA,TA,Y,0.0,3.58351893845611,6,2010,New,Partial,1,0
41,528120100,3.044522437723423,RL,4.564348191467836,12182,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.424950017481403,Gd,TA,PConc,Gd,TA,Mn,BLQ,7.091742115095153,Unf,0.0,5.831882477283517,1541.0,GasA,Ex,Y,SBrkr,7.340835554123275,0.0,0.0,7.340835554123275,0.0,0.0,2,0,3,0.6931471805599453,Gd,7,Typ,1,Gd,Attchd,2005.0,RFn,2.0,532.0,TA,TA,Y,0.0,4.2626798770413155,5,2010,New,Partial,5,5
